transaction_id,Date,Store,Product,Quantity,Price
0,2023-09-15,Berlin-03,TV,1,1587.32
1,2023-09-25,Paris-05,Cables,7,16.57
2,2023-01-12,NYC-02,Keyboard,5,104.6
3,2023-12-30,NYC-02,Laptop,7,1277.95
4,2023-04-13,Tokyo-04,Mouse,7,27.08
5,2023-08-10,Berlin-03,Laptop,9,1377.64
6,2023-08-26,NYC-02,Keyboard,6,103.77
7,2023-01-17,Tokyo-04,Keyboard,1,111.54
8,2023-05-05,Tokyo-04,Keyboard,2,94.0
9,2023-01-31,London-01,Monitor,6,333.02
10,2023-07-31,NYC-02,Cables,8,15.39
11,2023-11-03,Tokyo-04,Monitor,8,336.06
12,2023-12-13,Paris-05,Phone,4,711.76
13,2023-09-15,London-01,Cables,5,15.76
14,2023-07-23,Tokyo-04,TV,6,1710.09
15,2023-02-05,NYC-02,Laptop,7,1294.54
16,2023-01-07,Paris-05,Cables,3,13.32
17,2023-08-19,London-01,TV,6,1485.19
18,2023-01-28,London-01,Keyboard,4,90.48
19,2023-03-27,NYC-02,Cables,9,16.07
20,2023-11-13,Berlin-03,Mouse,1,25.1
21,2023-05-20,NYC-02,Monitor,8,311.12
22,2023-04-15,London-01,Laptop,5,1056.75
23,2023-05-05,Paris-05,Keyboard,2,113.92
24,2023-02-13,London-01,Phone,2,702.0
25,2023-06-29,NYC-02,Cables,9,15.63
26,2023-01-23,London-01,TV,5,1356.47
27,2023-09-17,Tokyo-04,Mouse,1,21.31
28,2023-10-30,NYC-02,TV,7,1375.16
29,2023-11-28,Berlin-03,Phone,9,812.86
30,2023-12-26,Paris-05,Keyboard,2,104.31
31,2023-07-05,Tokyo-04,Laptop,4,1265.5
32,2023-01-13,Tokyo-04,Monitor,5,255.32
33,2023-11-05,London-01,Mouse,6,24.74
34,2023-10-27,Tokyo-04,TV,7,1612.53
35,2023-11-02,London-01,Mouse,1,27.55
36,2023-11-27,Paris-05,Monitor,4,260.63
37,2023-08-29,Tokyo-04,Keyboard,3,92.98
38,2023-06-10,Paris-05,TV,1,1555.3
39,2023-10-13,Tokyo-04,Monitor,8,333.36
40,2023-06-11,NYC-02,Monitor,1,325.59
41,2023-06-03,London-01,Laptop,9,1198.57
42,2023-12-30,Tokyo-04,TV,3,1561.35
43,2023-05-26,NYC-02,Cables,9,12.8
44,2023-10-07,Paris-05,TV,5,1377.16
45,2023-02-06,Berlin-03,Keyboard,3,102.4
46,2023-10-15,Tokyo-04,TV,6,1348.91
47,2023-07-23,NYC-02,Monitor,8,319.41
48,2023-06-07,Berlin-03,Laptop,3,1355.69
49,2023-03-06,London-01,Monitor,8,321.48
50,2023-07-15,London-01,Cables,7,14.86
51,2023-12-16,Berlin-03,Cables,6,13.96
52,2023-09-06,Tokyo-04,TV,6,1652.44
53,2023-11-10,Paris-05,Monitor,3,279.92
54,2023-12-08,Paris-05,Monitor,2,312.63
55,2023-02-07,NYC-02,Phone,3,896.61
56,2023-05-10,Berlin-03,Monitor,2,278.13
57,2023-12-28,Berlin-03,Phone,4,812.87
58,2023-07-13,Tokyo-04,TV,9,1467.05
59,2023-04-22,London-01,Cables,7,15.42
60,2023-01-11,Paris-05,Mouse,2,25.82
61,2023-10-17,NYC-02,Cables,7,15.07
62,2023-10-01,Tokyo-04,Phone,1,892.55
63,2023-04-13,Paris-05,Monitor,9,0.0
64,2023-06-13,Berlin-03,Monitor,5,309.47
65,2023-12-09,London-01,Cables,2,16.64
66,2023-02-19,Berlin-03,Mouse,2,21.53
67,2023-07-13,NYC-02,Monitor,4,292.56
68,2023-12-06,London-01,Mouse,6,27.62
69,2023-06-05,Paris-05,Laptop,7,1027.54
70,2023-06-22,London-01,Phone,6,737.03
71,2023-03-09,London-01,Laptop,7,1322.56
72,2023-01-31,Paris-05,Mouse,2,22.34
73,2023-10-12,Paris-05,Mouse,6,22.92
74,2023-12-11,Tokyo-04,Cables,6,13.49
75,2023-03-17,Paris-05,Keyboard,4,113.3
76,2023-04-02,Tokyo-04,Cables,9,16.85
77,2023-08-03,Tokyo-04,Monitor,5,307.56
78,2023-11-06,NYC-02,Cables,5,17.13
79,2023-09-19,London-01,Cables,2,16.99
80,2023-03-18,London-01,Mouse,5,26.38
81,2023-09-13,NYC-02,TV,6,1585.6
82,2023-04-06,Berlin-03,Laptop,6,1106.15
83,2023-04-19,Paris-05,TV,5,1668.47
84,2023-04-18,London-01,Laptop,2,1171.06
85,2023-03-14,NYC-02,Laptop,8,1330.37
86,2023-02-06,Paris-05,Cables,4,13.23
87,2023-11-01,Berlin-03,Cables,4,13.98
88,2023-06-19,Paris-05,Keyboard,2,102.57
89,2023-01-19,Paris-05,Phone,6,734.56
90,2023-12-23,Tokyo-04,Monitor,6,287.28
91,2023-01-09,NYC-02,Cables,1,15.74
92,2023-07-15,Paris-05,Monitor,9,308.24
93,2023-12-09,Paris-05,Cables,1,13.73
94,2023-10-12,Tokyo-04,TV,8,1596.33
95,2023-04-17,NYC-02,Laptop,3,1041.06
96,2023-07-22,Tokyo-04,Phone,9,904.68
97,2023-06-26,London-01,TV,4,1658.26
98,2023-03-01,Paris-05,Monitor,1,311.18
99,2023-09-14,Berlin-03,Laptop,4,1239.99
100,2023-06-01,Paris-05,Monitor,1,314.46
101,2023-07-25,Paris-05,TV,2,1409.25
102,2023-03-11,London-01,Mouse,6,25.59
103,2023-11-23,Paris-05,Monitor,5,308.66
104,2023-07-10,NYC-02,Keyboard,7,99.48
105,2023-08-14,Paris-05,Phone,3,760.95
106,2023-10-02,NYC-02,TV,4,1544.56
107,2023-01-13,Tokyo-04,Keyboard,4,110.38
108,2023-01-22,London-01,Cables,4,16.94
109,2023-12-04,Berlin-03,Phone,9,847.67
110,2023-03-28,London-01,TV,7,1507.61
111,2023-05-24,NYC-02,Cables,8,14.58
112,2023-04-25,Berlin-03,Phone,1,773.2
113,2023-01-27,NYC-02,Phone,5,847.56
114,2023-12-03,Paris-05,Phone,4,799.16
115,2023-05-26,Berlin-03,Laptop,6,1149.47
116,2023-06-07,Paris-05,Cables,6,17.02
117,2023-03-11,Tokyo-04,Laptop,9,1371.15
118,2023-12-18,Tokyo-04,Laptop,6,1179.93
119,2023-07-15,NYC-02,Phone,5,830.95
120,2023-09-16,London-01,Keyboard,5,102.62
121,2023-05-06,Berlin-03,TV,3,1364.75
122,2023-05-20,Paris-05,Mouse,7,22.57
123,2023-11-04,London-01,Cables,6,17.06
124,2023-01-20,Tokyo-04,Monitor,4,327.78
125,2023-08-13,Berlin-03,Mouse,2,26.8
126,2023-01-14,NYC-02,TV,2,1596.81
127,2023-07-07,NYC-02,Cables,4,15.87
128,2023-12-06,Paris-05,Monitor,5,284.66
129,2023-09-16,Paris-05,Monitor,3,331.92
130,2023-02-09,Tokyo-04,Mouse,9,24.9
131,2023-09-21,London-01,Mouse,8,28.63
132,2023-12-22,NYC-02,Keyboard,6,96.29
133,2023-09-01,NYC-02,Monitor,4,270.58
134,2023-09-09,NYC-02,Cables,6,15.73
135,2023-05-07,NYC-02,Cables,6,14.07
136,2023-12-10,NYC-02,Laptop,4,1073.29
137,2023-01-27,NYC-02,Monitor,5,265.23
138,2023-01-05,Paris-05,Cables,3,14.35
139,2023-12-19,Berlin-03,Phone,4,691.89
140,2023-09-04,London-01,Monitor,8,256.31
141,2023-02-09,Paris-05,Cables,6,15.67
142,2023-03-09,Paris-05,Cables,1,14.08
143,2023-05-12,Tokyo-04,Laptop,7,1361.72
144,2023-03-01,Berlin-03,Monitor,2,316.41
145,2023-07-16,London-01,Laptop,6,1098.42
146,2023-02-21,Berlin-03,Laptop,6,1379.86
147,2023-03-09,London-01,Monitor,8,300.58
